Pregunta,Respuesta
¿Que ocurre si el destinatario no se encuentra en su domicilio?,"La floristeria dejara en su domicilio o en su buzon una tarjeta con los datos del establecimiento, para que el destinatario pueda ponerse en contacto con ellos y recoger su pedido."
¿Que dias realizan entregas?,Realizamos entregas todos los dias del año excepto los dias domingos y festivos. ordenes recibidas para los dias domingo o festivos seran entregadas el siguiente dia habil. En temporadas altas como el dia de la Madre o el dia de San Valentin si realizamos entregas los dias domingo.
¿Por que les debo confiar mi orden?,Somos una empresa extensa y con trayectoria. Estamos comprometidos con la satisfaccion al cliente y por tanto nos preocupamos porque cada arreglo elaborado en nuestras floristerias sea de la mas alta calidad y frescura. Si por algun motivo no queda satisfecho con su orden favor dejarnoslo y con gusto nos encargaremos de darle una pronta y satisfactoria solucion.
¿Con que anterioridad debo colocar mi orden?,"A pesar que recibimos ordenes para entregar el mismo dia si ordena antes de las 12 del dia del hora del Este (UTC/GMT -5), es aconsejable que coloque su orden con minimo dos dias de anticipacion."
¿En que moneda estan expresados sus precios?,Todos nuestros precios estan dados en pesos chilenos. 
¿Cuales son los pasos para poner una orden?,El proceso de compra en nuestro sitio Web es bien sencillo. Solo debe llamar a nuestro numero o darnos su telefono o correo para que lo contactemos.
¿Tengo problemas completando mi orden y no se que hacer?,Si tiene problema completando su orden favor comunicarse con cualquiera de nuestra oficinas al cliente y uno de de nuestros representantes le tomara su orden telefonicamente.
¿Por que no he recibido la confirmacion de mi orden?,Si han pasado mas de diez minutos desde que completo su orden y no ha recibido nuestro correo electronico con la conformacion puede ser que esta se haya ido a su carpeta de correo no deseado (Junk or Spam folder). 
¿Una vez colocada mi orden puedo cancelarla?,Con mucho gusto le ayudaremos a cancelar su orden si no lo deja saber con minimo un dia de anticipacion.
¿Como puedo modificar una orden?,Con gusto podemos modificar su orden si no le deja saber hasta un dia antes de la fecha de entrega. Para cambios el mismo dia de la entrega favor contactarnos telefonicamente para verificar si aun esta a tiempo de realizar cambios a su orden.
¿Que pasa si no hay nadie en casa al momento de realizar la entrega?,Si no se encuentra nadie en casa al momento de realizar la entrega se llevara el arreglo y regresara de nuevo mas tarde.
¿A que horas entregaran mis flores?,Por politica no garantizamos una hora especifica de entrega pero su orden sera entregada el dia solicitado lo mas pronto posible. 
¿Como se si mi orden fue entregada?,"Si desea saber quien recibio su orden, favor escribirnos y con gusto le dejaremos saber quien recibio su orden. Favor tener en cuenta que puede tomarnos hasta 24 horas en confirmarle quien recibio las flores."
¿Como hago mi pedido?,Los pedidos podran ser realizados por la telefono o por el formulario de contacto.
¿Que sucede si no recibo confirmacion de mi pedido via email?,"Si no recibe una confirmacion de pedido via mail y no aparece informacion de su pedido en su cuenta, le rogamos se ponga en contacto con nuestro servicio al cliente."
¿Cual es el horario de atencion?,"Flores Lilium permanece abierto Lunes a Viernes de 8:00 a 21:00 hs. y Sabados y Domingos de 8:00 a 20:00 hrs., posteriormente queda un servicio de atencion telefonico para los pedidos nocturnos con servicio las 24 hs."
¿Cual es el horario de recepcion de pedidos?,"Los pedidos podran ser realizados las 24 hs del dia, seran procesados los dias Lunes a Sabado de las 8:00 a las 16:00 hs., el dia domingo de las 9:00 a las 14:00 hs."
¿En que horarios se entregan los pedidos?,Los pedidos son entregados en el correr del dia de 9 a 20 hs.
¿Que metodos de pago aceptan?,"Puede abonar su pedido por nuestra web mediante las siguientes formas de pagos: Tarjetas de credito, Pay Pal, Wester Union, o transferencias."
¿Que dias no se hacen entregas?,Flores Lilium permanecera cerrada aquellos dias considerados no laborales.
¿Donde puedo incluir instrucciones especiales?,"En caso de que quiera indicar algun dato de entrega complementario, como por ejemplo un numero de telefono o una direccion adicional, le rogamos que lo incluya en observaciones de su Envio."
¿Que ocurre si el destinatario no se encuentra en la direccion de entrega?,"Se intentara efectuar la entrega y, en caso de no ser posible, dejara una tarjeta e intentara localizar al destinatario por telefono. Si aun asi no pudiesemos entregar las flores y le resultara asimismo imposible contactar por telefono con el destinatario, le informaremos inmediatamente ya sea por telefono o correo electronico."
¿Se garantiza el excelente estado final del pedido?,"La plena satisfaccion de nuestros Clientes es para nosotros de maxima prioridad. Por ello, le garantizamos que todos sus pedidos seran ejecutados de forma profesional, dentro de los plazos previstos y con el mas elevado nivel de calidad."
¿Cual es el horario de entrega?,Nos comprometemos a entregar las flores en la fecha y horario que elijas de nuestra tabla de posibilidades que te ofrecemos al realizar un pedido.
¿Hay servicio de entrega en sabado y domingo?,Por favor contactanos para coordinar si es posible.
¿Como se entregan mis flores?,La empresa elige para cada pedido el metodo mas adecuado de embalaje y transporte. Los repartidores son muy cuidadosos en su transporte y entrega.
¿Con cuanta antelacion debo hacer el pedido?,"En los servicios normales nuestro sistema de envios le ofrecera posibilidades de entrega hasta con un mes de antelacion, pero puedes realizar el pedido con un minimo de 4 horas de antelacion si el pedido es para Santiago o Valparaiso."
¿Que pasa si no hay nadie para recibir las flores?,"Si al hacer la entrega de las flores el destinatario esta ausente nos ponemos en contacto directamente con el destinatario, si el cliente nos ha facilitado su telefono de contacto, de esta manera, acordaremos una segunda entrega en otro horario u otra direccion, sin ningun coste extra para el cliente y le mantendremos informado de la incidencia via e-mail. En el caso de que el cliente no haya facilitado el telefono de contacto del destinatario nos pondremos en contacto con el cliente para acordar una segunda entrega sin ningun coste extra."
¿Hay Garantia? ,"Se garantiza la frescura y calidad de todos sus productos. Si, a pesar de esto, la satisfaccion obtenida con nuestros servicios no fuera la esperada, nos comprometemos a estudiar cada reclamacion y actuara de forma consensuada con el cliente. Las reclamaciones siempre seran tratadas con generosidad puesto que confiamos en que nuestros clientes actuan de buena fe. "
¿Como los puedo contactar?,Llena el formulario de contacto y te responderemos a la brevedad.
¿Cual es su ubicacion y direccion?,"Nos ubicamos en Limache, Region de Valparaiso"
¿Quisiera saber de sus productos?,"Nuestra empresa vende flores lilium al por mayor y al por menor. Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje."
¿Que productos venden?,"Nuestra empresa vende flores lilium al por mayor y al por menor. Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje."
¿Me gustaria saber de sus productos?,"Nuestra empresa vende flores lilium al por mayor y al por menor. Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje."
¿Dan facturas o boletas?,"Si, es posible pedir una factura al hacer el pedido."
¿Hacen descuentos y rebajas?,"Si, es posible hacer un descuento dependiendo del tamaño del pedido."
¿Hacen precio por pedidos?,"Si, es posible hacer un descuento dependiendo del tamaño del pedido."
¿Pueden hacer descuentos?,"Si, es posible hacer un descuento dependiendo del tamaño del pedido."
¿Que descuentos hay disponibles?,No hay ofertas disponibles actualmente.
¿Que colores hay disponibles?,"Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje."
¿Que colores tienen disponibles?,"Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje."
¿Cuanto tiempo duran?,Las flores duran aproximadamente dos semanas.
¿Cuando marchitan mueren?,Las flores duran aproximadamente dos semanas.
¿Donde se ubican encuentran?,"La ubicacion de nuestra empresa es: Parcela 26, Lliu Liu, Limache, Region de Valparaiso."
¿Cual es el precio actual?,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto."
¿Quisiera saber los precios?,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto."
¿Cuanto cuestan los paquetes?,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.
¿Que significa es botonaje?,Botonaje se refiere al tamaño de la flor.
¿Es posible hacer pedidos?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.
¿Se pueden hacer pedidos?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.
¿Es posible realizar compras?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.
¿Se pueden hacer compras?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.
¿Como contacto a la empresa?,Por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
¿Como y donde puedo contactarlos?,Por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
¿Cuanto es el pedido maximo?,Para pedidos muy grandes por favor contactate con nosotros
¿La cantidad maxima para pedir?,Para pedidos muy grandes por favor contactate con nosotros.
¿La cantidad minima para pedir?,No hay pedidos minimos.
¿Cual es el pedido minimo?,No hay pedidos minimos.
¿Cual es el pedido maximo?,Para pedidos muy grandes por favor contactate con nosotros.
¿Donde puedo retirar productos?,En Limache quinta region.
¿Cual es la duracion media?,Duran aproximadamente dos semanas.
¿Cuanto es la duracion de las flores?,Duran aproximadamente dos semanas.
¿Puedo elegir colores diferentes?,"Si, es posible."
¿Se pueden elegir colores diferentes?,"Si, es posible."
¿Que colores pueden ser?,"Blanco, bicolor, rojo, rosado, amarillo, rosa, naranjo etc. Para ver la disponibilidad por favor llamanos al 09-98276460."
¿Que tamaños hay disponibles?,Para ver la disponibilidad por tamaño por favor llamanos al 09-98276460.
¿Que porte tienen disponibles?,Para ver la disponibilidad por tamaño por favor llamanos al 09-98276460.
¿Con cuanta antelacion puedo hacer un pedido?,A lo menos dos dias. Mas si es envio a regiones.
¿Con cuanta antelacion tiempo puedo comprar?,A lo menos dos dias. Mas si es envio a regiones.
¿Con cuanto tiempo puedo hacer un pedido?,A lo menos dos dias. Mas si es envio a regiones.
¿Con cuanto tiempo puedo comprar?,A lo menos dos dias. Mas si es envio a regiones.
¿Que otras flores hay?,Tambien ofrecemos gladiolos y gerberas.
¿Con quien puedo hablar para comprar?,Por favor llame a Patricia Cid al telefono celular 09-98276460 o escribenos en el formulario de contacto.
¿Quien esta a cargo?,Por favor llame a Patricia Cid al telefono celular 09-98276460 o escribenos en el formulario de contacto.
¿A quien puedo llamar?,Por favor llame a Patricia Cid al telefono celular 09-98276460 o escribenos en el formulario de contacto.
¿A que horas puedo llamar?,"Flores Lilium permanece abierto Lunes a Viernes de 8:00 a 21:00 hs. y Sabados y Domingos de 8:00 a 20:00 hrs., posteriormente queda un servicio de atencion telefonico para los pedidos nocturnos con servicio las 24 hs."
¿En que horario puedo llamar?,"Flores Lilium permanece abierto Lunes a Viernes de 8:00 a 21:00 hs. y Sabados y Domingos de 8:00 a 20:00 hrs., posteriormente queda un servicio de atencion telefonico para los pedidos nocturnos con servicio las 24 hs."
¿Que cargos adicionales hay?,El costo de envio.
¿Cual es el sentido de la vida?,Servir para un bien comun
¿Cual es el proposito de la muerte?,poder vivir de nuevo.
¿Cual es el proposito de las emociones?,No lo se.
¿Cual es la disponibilidad de?,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Estoy interesado en flores,Por favor visite la pagina de productos para ver la variedad y los precios.
Que productos hay tienen,"Flores Lilium, Gerberas y gladiolos de distintos colores."
Me gustaria hacer un pedido,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
Informacion de sus Productos,"Nuestra empresa vende flores lilium al por mayor y al por menor. Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje."
Quisiera saber el precio de los lilium,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.
El Telefono de Contacto,Por favor llama al numero celular 09-98276460.
A que telefono puedo llamar,Por favor llama al numero celular 09-98276460.
A que numero llamo,Por favor llama al numero celular 09-98276460.
Que telefono tienen,Por favor llama al numero celular 09-98276460.
Quiero saber la disponibilidad de,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Necesito la cantidad de,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Necesito saber el precio,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto."
Quisiera saber el precio,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto."
Quisiera la cantidad de,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Quiero saber tienen venden,"La variedad de flores es dependiente de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto."
Costos de envio flores,Para conocer el costo de envio por favor visita Tur-bus o correos de chile para conocer los precios a tu localidad desde Limache.
Hacer pedido para el lunes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Hacer pedido para el martes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Hacer pedido para el miercoles,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Hacer pedido para el jueves,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Hacer pedido para el viernes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Hacer pedido para el sabado,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Hacer pedido para el domingo,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Ofrecen Venta por mayor,Para pedidos muy grandes por favor contactate con nosotros al numero celular 09-98276460
Ofrecen Venta por menor,No hay pedido minimo.
Pedir para el dia lunes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.
Si ok,Ok.
que me cotizen flores,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.
Quisiera cotizar,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.
Que informacion tienen,Los precios actuales y como comprar.
Quiero cotizar,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.
Necesito cotizar,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.
tienen en stock,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Que cantidades manejan,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Que volumenes manejan,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Que cantidades tienen,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
Que volumenes tienen,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.
